CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
-328.018812,-375.5244666,-470.6710203,-556.9566486,-615.1768731,-673.0078864,-411.0074203,-359.8492241,3294,0,2127,-7070,-14968,-84,212,71,1915936,500,21:02.5,21:02.550
-348.4354104,-349.8980044,-243.776291,-300.7284714,-469.4577164,-483.9183208,-459.3158493,-343.7912297,3294,0,2127,-7070,-14968,-84,212,71,1915937,500,21:02.5,21:02.550
-405.5778918,-422.4753702,-355.8196118,-544.068365,-588.6102337,-629.176247,-405.4100684,-338.9343069,3294,0,2117,-7081,-14960,-146,177,81,1915938,500,21:02.5,21:02.550
-501.7771423,-517.6363465,-401.9359933,-646.9220844,-654.3082151,-669.012301,-399.2643182,-428.5797309,3294,0,2117,-7081,-14960,-146,177,81,1915939,500,21:02.5,21:02.550
-60.21629853,-157.6993595,-48.20420004,-267.1444471,-354.9533175,-250.5685895,-55.66390071,-10.95641955,3294,0,2117,-7081,-14960,-146,177,81,1915940,500,21:02.5,21:02.550
-568.5892357,-536.8586263,-407.5263821,-713.4602142,-783.0795288,-855.921476,-434.9974337,-494.0787656,3294,0,2117,-7081,-14960,-146,177,81,1915941,500,21:02.6,21:02.551
-403.1488234,-424.0251228,-303.3233856,-508.6582859,-606.3221765,-734.5662235,-451.7640425,-402.7885216,3294,0,2117,-7081,-14960,-146,177,81,1915942,500,21:02.6,21:02.551
-713.285134,-656.6548289,-551.9596025,-680.2899363,-789.2292632,-1177.513972,-678.6524498,-708.6181116,3294,0,2117,-7081,-14960,-146,177,81,1915943,500,21:02.6,21:02.551
-460.0463228,-478.5524089,-424.1342397,-521.7753561,-613.7339247,-910.5782248,-520.9940696,-490.4776404,3294,0,2117,-7081,-14960,-146,177,81,1915944,500,21:02.6,21:02.551
-357.2187074,-425.4957563,-341.2270352,-564.663804,-592.8687757,-793.0064892,-420.9045614,-367.8508812,3294,0,2117,-7081,-14960,-146,177,81,1915945,500,21:02.6,21:02.551
-473.5800594,-531.0184726,-549.5634029,-713.8325981,-676.0217967,-941.5260162,-439.6532315,-442.8209648,3294,0,2117,-7081,-14960,-146,177,81,1915946,500,21:02.6,21:02.551
-558.1542722,-580.921256,-504.2455449,-670.8424114,-585.8820627,-834.5953933,-585.7182915,-540.067143,3294,0,2117,-7081,-14960,-146,177,81,1915947,500,21:02.6,21:02.551
-589.0570236,-578.7027642,-603.5324355,-689.1127736,-562.9327315,-928.0810741,-628.3737629,-568.4685751,3294,0,2126,-7112,-14980,-126,244,17,1915948,500,21:02.6,21:02.551
-502.0982325,-526.2463691,-587.2211059,-632.8406202,-437.7129893,-855.3127682,-542.0528335,-504.3199085,3294,0,2126,-7112,-14980,-126,244,17,1915949,500,21:02.6,21:02.552
