CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
-880.3367128,-671.7406826,-359.5126984,522.1559427,348.3199086,-295.5024344,-818.044209,-713.2387364,3308,0,16216,-2755,-1470,-97,219,5,1804448,500,17:19.6,17:19.582
-979.6659755,-724.4517311,-323.3476785,546.8939772,319.8982345,-235.2375473,-847.5508083,-752.6663479,3308,0,16216,-2755,-1470,-97,219,5,1804449,500,17:19.6,17:19.582
-991.5275553,-765.4701992,-402.3814159,516.4002435,261.5453123,-243.6720058,-901.6687197,-781.6692461,3308,0,16216,-2755,-1470,-97,219,5,1804450,500,17:19.6,17:19.583
-1008.225656,-751.8901837,-362.4264896,559.3233372,278.0780139,-174.5368106,-906.9793636,-781.7299045,3308,0,16216,-2755,-1470,-97,219,5,1804451,500,17:19.6,17:19.583
-1038.655531,-778.7179534,-376.1662185,542.4797423,281.0303427,-106.6433391,-933.6672111,-810.1892912,3308,0,16216,-2755,-1470,-97,219,5,1804452,500,17:19.6,17:19.583
-994.100349,-744.2763527,-382.3852258,516.9718706,316.616059,-103.1519997,-910.4351863,-783.6009983,3308,0,16216,-2755,-1470,-97,219,5,1804453,500,17:19.6,17:19.583
-1002.516503,-728.9872362,-305.8345474,532.652462,378.230255,-23.47150644,-866.0534985,-761.2953963,3308,0,16216,-2755,-1470,-97,219,5,1804454,500,17:19.6,17:19.583
-997.1274195,-740.2594581,-363.1411876,483.1754448,355.585729,-82.86990047,-895.6415186,-774.7799851,3308,0,16216,-2755,-1470,-97,219,5,1804455,500,17:19.6,17:19.583
-1019.442442,-738.5223798,-333.0843747,514.1875779,390.1634012,-52.55005252,-903.310062,-781.3457984,3308,0,16182,-2772,-1462,-21,202,52,1804456,500,17:19.6,17:19.583
-1076.253361,-791.8544741,-339.4088581,447.2115554,377.6036648,-77.93307697,-964.3036364,-841.6821064,3308,0,16182,-2772,-1462,-21,202,52,1804457,500,17:19.6,17:19.583
