CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
-628.781872,-113.7825249,-594.0999546,-188.3983655,500.7189271,1456.540849,-448.17469,275.271874,3498,0,740,-3036,-16380,-434,42,85,577876,500,58:38.0,58:38.024
-328.2926925,198.6693998,-206.3501997,214.5638028,944.9680887,1634.834966,-397.2911347,588.4242028,3498,0,740,-3036,-16380,-434,42,85,577877,500,58:38.0,58:38.024
-121.4086277,25.21952738,-336.9457436,-9.846483396,515.786018,970.5764136,499.6965703,1068.288232,3498,0,740,-3036,-16380,-434,42,85,577878,500,58:38.0,58:38.024
-366.1909832,-222.7350216,-690.3998411,-381.1018711,60.30093347,731.45133,-49.25201263,767.3244779,3498,0,740,-3036,-16380,-434,42,85,577879,500,58:38.0,58:38.024
-444.5639045,-137.257471,-621.851736,-170.2435022,346.9772016,1386.822223,-83.02014253,848.5815327,3498,0,740,-3036,-16380,-434,42,85,577880,500,58:38.0,58:38.024
-436.3362899,-21.81923155,-558.2958188,-226.4083894,-123.3299842,682.8131987,79.9677054,1287.593993,3498,0,740,-3036,-16380,-434,42,85,577881,500,58:38.0,58:38.024
-378.9597184,-61.60621911,-726.4639361,-622.6281799,-1083.676446,-470.380058,-20.32108211,1459.565845,3498,0,740,-3036,-16380,-434,42,85,577882,500,58:38.0,58:38.025
-690.9247371,-595.4672673,-1324.736228,-1184.146328,-1258.190463,-0.074309317,-61.79469223,1151.762598,3498,0,740,-3036,-16380,-434,42,85,577883,500,58:38.0,58:38.025
-816.2594532,-856.0809674,-1503.946799,-1101.766977,-638.592676,809.1305842,-141.5918999,1286.580571,3498,0,740,-3036,-16380,-434,42,85,577884,500,58:38.0,58:38.025
-1042.710173,-1013.061486,-1516.51475,-950.5457785,-458.7017399,481.4437254,-1247.146029,930.7279632,3498,0,740,-3036,-16380,-434,42,85,577885,500,58:38.0,58:38.025
-1085.272278,-1037.752043,-1640.219606,-1103.57224,-685.4301655,144.7169572,-1147.754828,1075.626893,3498,0,736,-3021,-16506,304,-46,89,577886,500,58:38.0,58:38.025
-1115.111963,-1069.706778,-1796.941698,-1246.025756,-886.8579145,0.641218052,-570.9183701,1400.533209,3498,0,736,-3021,-16506,304,-46,89,577887,500,58:38.0,58:38.026
-1161.455303,-728.331885,-1532.45697,-804.1639318,-630.1372394,201.862686,-875.6418929,1432.377581,3498,0,736,-3021,-16506,304,-46,89,577888,500,58:38.0,58:38.026
-1635.246613,-938.5229956,-2093.922249,-1565.800111,-1626.317152,-693.6348527,-721.2378214,1196.666511,3498,0,736,-3021,-16506,304,-46,89,577889,500,58:38.0,58:38.026
-1322.936862,-722.0513103,-2069.161156,-1715.892287,-1995.236212,-1411.047465,-391.9800244,1391.781133,3498,0,736,-3021,-16506,304,-46,89,577890,500,58:38.0,58:38.026
-1114.580108,-604.7376859,-1879.797611,-1607.392677,-2118.660368,-2128.845572,-652.8175681,1462.907554,3498,0,736,-3021,-16506,304,-46,89,577891,500,58:38.0,58:38.026
-1405.060199,-1067.6404,-1981.448489,-1620.023192,-2283.511796,-2227.063611,-846.4155561,1324.696397,3498,0,736,-3021,-16506,304,-46,89,577892,500,58:38.0,58:38.026
-1713.302572,-1320.762891,-1996.818037,-1713.401374,-2677.451575,-2170.037977,-815.2385046,1486.229008,3498,0,736,-3021,-16506,304,-46,89,577893,500,58:38.0,58:38.026
-2067.989319,-1119.082551,-1952.761659,-1624.097723,-2726.564702,-1828.176325,-408.416495,1642.038669,3498,0,736,-3021,-16506,304,-46,89,577894,500,58:38.0,58:38.026
-2521.617396,-1548.544556,-2234.430163,-1765.554754,-2510.728332,-973.8581339,-1274.919415,1000.713923,3498,0,736,-3021,-16506,304,-46,89,577895,500,58:38.0,58:38.026
-2469.044011,-1947.557369,-2515.617941,-2172.43105,-2781.622161,-1149.429911,-732.1407997,1191.454566,3498,0,737,-3031,-16421,508,-45,86,577896,500,58:38.0,58:38.026
-2200.389151,-2520.315113,-2944.000791,-2432.052931,-2529.296117,-1082.41636,-1205.302645,1064.463339,3498,0,737,-3031,-16421,508,-45,86,577897,500,58:38.0,58:38.026
-1774.370189,-2125.674338,-2430.097575,-1402.346208,-708.8389331,348.5689073,-2950.936078,975.7331823,3498,0,737,-3031,-16421,508,-45,86,577898,500,58:38.0,58:38.026
-2281.768802,-2586.19517,-2917.90386,-1902.978226,-895.2969966,1109.843273,-3237.975409,811.708662,3498,0,737,-3031,-16421,508,-45,86,577899,500,58:38.0,58:38.026
-2141.037053,-2017.370112,-2687.004522,-1695.352031,-713.332323,1717.67548,-3289.900404,880.3489352,3498,0,737,-3031,-16421,508,-45,86,577900,500,58:38.0,58:38.027
-2279.177185,-1957.295759,-2848.311862,-1809.483172,-589.5415501,1500.098067,-3386.278249,768.4906763,3498,0,737,-3031,-16421,508,-45,86,577901,500,58:38.0,58:38.028
-2295.822188,-2456.224786,-3308.209462,-2409.547799,-1326.998418,-188.2186001,-3087.045188,834.2098889,3498,0,737,-3031,-16421,508,-45,86,577902,500,58:38.0,58:38.028
-2316.741868,-2656.101375,-3584.461853,-2776.044428,-1928.007511,-1550.050998,-2986.888439,1074.121968,3498,0,737,-3031,-16421,508,-45,86,577903,500,58:38.0,58:38.028
-2254.569877,-2422.560888,-3609.763097,-2696.718583,-2030.018749,-1707.05459,-3217.608304,1199.622293,3498,0,737,-3031,-16421,508,-45,86,577904,500,58:38.0,58:38.028
-2457.481436,-2329.25957,-3552.42384,-2670.636013,-2256.228542,-1904.810089,-3322.732753,1169.584401,3498,0,737,-3031,-16421,508,-45,86,577905,500,58:38.0,58:38.028
-2667.120855,-2343.379106,-3435.490566,-2645.876854,-2629.67392,-2506.966904,-2719.439434,1332.026537,3498,0,708,-3031,-16281,329,108,69,577906,500,58:38.0,58:38.028
-2948.572264,-2730.737083,-3707.393696,-2966.791884,-3241.66945,-3684.514317,-2364.870361,1324.174413,3498,0,708,-3031,-16281,329,108,69,577907,500,58:38.0,58:38.028
-2793.64649,-3038.630941,-3899.865302,-3218.46464,-3602.843529,-4046.547452,-2128.042391,1664.506727,3498,0,708,-3031,-16281,329,108,69,577908,500,58:38.0,58:38.029
-3065.669281,-3357.255241,-4364.937656,-3740.501335,-4069.524815,-3770.992007,-2957.798324,1267.490904,3498,0,708,-3031,-16281,329,108,69,577909,500,58:38.0,58:38.029
-3222.255152,-3472.426342,-4630.943233,-3800.537159,-3929.098123,-3484.654821,-3561.773533,892.2227227,3498,0,708,-3031,-16281,329,108,69,577910,500,58:38.0,58:38.030
-3107.169977,-3378.546398,-4729.205713,-3879.232896,-3872.014883,-3410.312385,-3669.010421,973.6428009,3498,0,708,-3031,-16281,329,108,69,577911,500,58:38.0,58:38.030
-3598.5788,-3853.38463,-5110.87663,-4272.665955,-3970.011681,-2619.04644,-3877.170891,676.8163933,3498,0,708,-3031,-16281,329,108,69,577912,500,58:38.0,58:38.030
-3897.045527,-4002.934041,-5017.810687,-3876.490238,-3014.246398,-1222.279523,-4231.458439,409.1113187,3498,0,708,-3031,-16281,329,108,69,577913,500,58:38.0,58:38.031
-4177.792383,-4214.362074,-5174.157958,-4110.532468,-3417.746272,-807.3416045,-4260.426835,228.032886,3498,0,708,-3031,-16281,329,108,69,577914,500,58:38.0,58:38.031
-4316.290745,-4316.428516,-5345.028553,-4276.141012,-3821.18741,-1351.534443,-4068.720428,126.4000525,3498,0,708,-3031,-16281,329,108,69,577915,500,58:38.0,58:38.031
-4665.175127,-4682.730082,-5640.821623,-4408.582343,-3686.971921,-1653.717646,-4346.571155,-203.692252,3498,0,700,-3054,-16475,1091,-4,79,577916,500,58:38.0,58:38.031
-4541.488027,-4527.121042,-5411.880541,-4149.385017,-3370.553276,-1938.77605,-4586.586194,-102.0725674,3498,0,700,-3054,-16475,1091,-4,79,577917,500,58:38.0,58:38.032
-4428.334148,-4428.17678,-5273.159203,-3952.102796,-2866.823079,-1658.40458,-4660.544195,2.323001138,3498,0,700,-3054,-16475,1091,-4,79,577918,500,58:38.0,58:38.032
-4750.880281,-4849.716326,-5733.165589,-4500.597681,-3499.108092,-1942.876024,-5057.945682,-262.1701961,3498,0,700,-3054,-16475,1091,-4,79,577919,500,58:38.0,58:38.032
-4584.699465,-4711.711488,-5713.385655,-4757.560517,-4780.078183,-3482.755185,-4775.479228,-53.4593768,3498,0,700,-3054,-16475,1091,-4,79,577920,500,58:38.0,58:38.032
-4504.038826,-4608.688447,-5651.154082,-4960.434165,-5627.477836,-4411.449309,-4788.838397,-2.990993991,3498,0,700,-3054,-16475,1091,-4,79,577921,500,58:38.0,58:38.033
-4911.160669,-4946.936662,-5859.397644,-5030.450971,-4979.568668,-3317.130733,-5155.404938,-425.7568647,3498,0,700,-3054,-16475,1091,-4,79,577922,500,58:38.0,58:38.033
-5076.480871,-5087.517454,-5933.475087,-4914.824593,-4429.305677,-3052.930669,-5269.941532,-658.3397856,3498,0,700,-3054,-16475,1091,-4,79,577923,500,58:38.0,58:38.034
-5001.342542,-4889.741514,-5864.67701,-4827.871177,-4113.48221,-3095.731968,-5450.533785,-749.8617117,3498,0,700,-3054,-16475,1091,-4,79,577924,500,58:38.0,58:38.034
-5222.32216,-5118.133299,-5957.47103,-4851.227544,-4055.605465,-3606.221911,-5565.434387,-911.0189334,3498,0,700,-3054,-16475,1091,-4,79,577925,500,58:38.0,58:38.034
-5457.218618,-5388.858418,-6180.531976,-5239.900266,-4991.290611,-4766.336136,-5138.320358,-886.2568459,3498,0,675,-3082,-16453,1445,14,49,577926,500,58:38.0,58:38.034
