sep=;
CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
332.70116549859;5035.87052693138;-1177.45490665408;-1010.62337358424;-633.323905492944;-1537.41975802375;44.5700871157559;60.5528382639179;3104;0;11618;-11557;-723;-88;93;186;148322;500;15:17:13.747284
299.735909844607;5235.07342176156;-1016.5978625579;-766.16446358429;-162.483361834126;-1072.16250047455;-145.695445747197;110.227562636081;3104;0;11618;-11557;-723;-88;93;186;148323;500;15:17:13.747380
-107.725392743964;4809.2526574568;-1129.67440686077;-829.016432409817;-295.072740226577;-1268.47980728028;-451.60211408693;-106.770503029749;3104;0;11641;-11544;-693;-327;106;372;148324;500;15:17:13.747455
-92.772474945953;4611.028224999;-1136.18239420168;-690.489649965533;-370.193468500244;-1177.92432320608;-211.175051868627;126.737696953051;3104;0;11641;-11544;-693;-327;106;372;148325;500;15:17:13.747538
-2.62931364367296;4620.41939401939;-1050.34237745694;-432.385673951191;-234.974597016891;-783.885064503429;182.887209732433;328.210609721401;3104;0;11641;-11544;-693;-327;106;372;148326;500;15:17:13.747626
121.376595452192;4603.86347076668;-1281.07055133854;-732.280980804347;-564.486422834051;-1563.39572218677;-80.3024325116761;174.98759250124;3104;0;11641;-11544;-693;-327;106;372;148327;500;15:17:13.747719
435.386608595896;5064.25123080764;-1162.19412906049;-1018.81893017145;-480.354796005625;-1310.85514831347;119.674352007053;43.9164986945437;3104;0;11641;-11544;-693;-327;106;372;148328;500;15:17:13.747826
31.6609029165693;5002.15694548238;-986.751889552413;-1168.55119563513;-631.615833451993;-1760.49139146282;216.162626083522;-243.504543203863;3104;0;11641;-11544;-693;-327;106;372;148329;500;15:17:13.747930
78.8953845124001;5107.92433929471;-812.619780958421;-855.161686160278;-395.14467232305;-1139.56964608648;257.636945195923;-138.526664046363;3104;0;11641;-11544;-693;-327;106;372;148330;500;15:17:13.749193
-122.25471472024;4765.33306094259;-935.876020639155;-1164.24927603193;-203.237020303614;-564.15707797031;260.393103355044;-80.1838597500276;3104;0;11641;-11544;-693;-327;106;372;148331;500;15:17:13.749479
223.574219812442;5076.4972066447;-1036.65879160341;-1544.40206285338;8.64221159079523;-679.338257090133;276.793143012446;300.125656204289;3104;0;11641;-11544;-693;-327;106;372;148332;500;15:17:13.749784
151.350383641911;4838.57178281183;-1322.98524588695;-1948.86967636285;-560.21776164496;-1672.74699707095;246.747564754569;341.895063407393;3104;0;11641;-11544;-693;-327;106;372;148333;500;15:17:13.749922
-0.313660324662672;4447.18964060009;-1272.9671032295;-1888.67337939376;-941.535588562516;-1969.25811978921;154.249366770648;293.194837219995;3104;0;11657;-11741;-616;-143;124;300;148334;500;15:17:13.750024
13.9510778832367;4117.54226935635;-1047.22059302079;-1995.74535228657;-1272.75283584191;-1345.67071150046;389.306613526008;315.91911349174;3104;0;11657;-11741;-616;-143;124;300;148335;500;15:17:13.750122
228.300661059203;4236.18768012576;-857.758273575804;-1763.94955778946;-1078.10955595321;-364.023079576392;541.753167811317;418.524248332919;3104;0;11657;-11741;-616;-143;124;300;148336;500;15:17:13.751008
179.758838846045;4266.03063508655;-982.347647906194;-1882.86326521498;-493.669750687986;-151.304649735021;272.773203005958;357.273963896601;3104;0;11657;-11741;-616;-143;124;300;148337;500;15:17:13.751158
201.031677053705;4421.51777505838;-1343.09308961249;-2264.51260858479;-329.862787103411;-154.518567349802;355.249621507939;310.464346178228;3104;0;11657;-11741;-616;-143;124;300;148338;500;15:17:13.751270
142.064546060274;4574.16360054255;-1096.3883707559;-1520.68752720297;-318.989834418581;-221.930218343002;195.966428644992;215.603808963469;3104;0;11657;-11741;-616;-143;124;300;148339;500;15:17:13.751417
-129.959631459424;4476.39727665214;-939.821610219949;-1344.95080292024;-482.262234213095;-277.6696338603;65.2129584328555;55.5644161866924;3104;0;11657;-11741;-616;-143;124;300;148340;500;15:17:13.751640
-239.610681623312;4537.6031083166;-739.864448886497;-991.440953916838;-340.391257848432;54.5094571443814;-53.2072186912283;38.0171014183326;3104;0;11657;-11741;-616;-143;124;300;148341;500;15:17:13.751835
-340.547639568884;4940.04100808135;-554.278805998994;-172.170820406507;138.935239861597;907.139487370086;-42.9345682769904;193.180266398773;3104;0;11657;-11741;-616;-143;124;300;148342;500;15:17:13.752849
-703.033027081977;4938.28133824396;-446.381030542881;183.018261133997;519.336333167608;1469.62330198473;-82.4546834064821;-141.590232321403;3104;0;11657;-11741;-616;-143;124;300;148343;500;15:17:13.752948
-430.325876246829;5175.91970076483;-242.47343250865;585.865357847241;882.627566727402;1630.92564596902;-268.351441749705;-580.320264474146;3104;0;11745;-11941;-603;173;141;147;148344;500;15:17:13.753035
-188.909171367927;4987.49727194969;-347.608375735798;532.092508484073;696.520564340306;2011.78706218368;-159.994038277025;-675.723511168414;3104;0;11745;-11941;-603;173;141;147;148345;500;15:17:13.753142
