sep=;
CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
583.344635964451;-34.1808608709856;-666.628436949772;-985.768189315704;-562.169829671587;-684.983769835088;796.014097459061;687.927047624704;3259;0;557;-7786;-14608;-18;99;-48;308134;500;10:43:29.880648
618.624098442192;-31.2774490066329;-671.681709113333;-946.988165384178;-515.891220263274;-575.90584136322;895.747980303309;798.01618707017;3259;0;557;-7786;-14608;-18;99;-48;308135;500;10:43:29.880694
430.430624443398;-162.139602299641;-732.031795726126;-1077.14228824404;-621.55219179499;-576.864218563068;881.948039023921;639.573757052818;3259;0;548;-7803;-14658;-1;167;-114;308136;500;10:43:29.880734
658.253604659924;116.262108796846;-421.688292290454;-735.336746738639;-444.111040442975;-444.498839885609;919.016165194009;789.87529666716;3259;0;548;-7803;-14658;-1;167;-114;308137;500;10:43:29.880784
856.736312320685;200.613522805165;-424.465021523936;-597.029512744026;-196.825854164918;-278.614221026713;1034.63008518481;897.04198484546;3259;0;548;-7803;-14658;-1;167;-114;308138;500;10:43:29.880837
818.316225628081;167.078836761541;-452.277142119164;-640.103516219386;-211.911170920324;-253.630973061601;910.407862738008;755.752394684077;3259;0;548;-7803;-14658;-1;167;-114;308139;500;10:43:29.880892
738.647442867936;274.733030293541;-281.272601632758;-416.285432302288;-63.2197765563768;-182.431596184064;930.219780919933;786.102660302214;3259;0;548;-7803;-14658;-1;167;-114;308140;500;10:43:29.880945
561.679301191006;139.789037633513;-415.131629490579;-576.735120934527;-236.153957691003;-345.489144502037;969.757783122149;779.900428641739;3259;0;548;-7803;-14658;-1;167;-114;308141;500;10:43:29.880995
606.989309755235;198.700405593803;-382.472621185987;-543.333503596833;-216.360325904178;-387.224161172272;1028.25832108042;863.651650193918;3259;0;548;-7803;-14658;-1;167;-114;308142;500;10:43:29.881036
545.184763700404;153.135350965821;-513.49635230344;-722.63026010615;-480.172244706549;-706.249699502913;1115.19237497113;845.601540385936;3259;0;548;-7803;-14658;-1;167;-114;308143;500;10:43:29.881074
733.475484327076;345.607281563303;-316.368072325106;-505.45977787355;-347.884387084846;-721.811569473664;1118.12092027188;898.036450539085;3259;0;548;-7803;-14658;-1;167;-114;308144;500;10:43:29.881113
829.864685887191;516.228203212991;-118.802246948474;-202.797990992138;-6.28139253455215;-507.18750962329;660.692935761412;761.381672051776;3259;0;548;-7803;-14658;-1;167;-114;308145;500;10:43:29.881151
656.876310522364;193.711480418654;-534.324771972717;-608.063970607753;-196.064009694835;-208.17675410752;761.930851681554;658.974023843179;3259;0;542;-7839;-14586;110;15;-54;308146;500;10:43:29.881192
932.866946233419;397.639853001525;-322.191527204521;-356.175348902982;-33.5668583680444;-127.875586379707;839.346727604988;889.743886695005;3259;0;542;-7839;-14586;110;15;-54;308147;500;10:43:29.881234
849.923019029492;314.299109926416;-494.342612652064;-606.958357928534;-327.064843663319;-477.909231229248;1100.48042601025;939.458723752088;3259;0;542;-7839;-14586;110;15;-54;308148;500;10:43:29.881277
605.809356073962;138.454155293886;-715.711655845742;-912.811221874482;-659.171995447355;-692.551663278931;904.552204963709;718.037075796765;3259;0;542;-7839;-14586;110;15;-54;308149;500;10:43:29.881440
649.594352485509;227.342200731;-605.022220420123;-718.898513127628;-463.797615872352;-523.065046481309;946.869763206524;806.814632502361;3259;0;542;-7839;-14586;110;15;-54;308150;500;10:43:29.882562
428.498717251306;18.1809539557225;-749.441629479696;-776.892268676315;-340.945726782278;-477.321850662996;825.921884895398;576.716675008534;3259;0;542;-7839;-14586;110;15;-54;308151;500;10:43:29.882687
633.242611949491;197.157696372667;-595.20487302282;-608.296342678366;-89.9680112653019;-418.766282988357;812.319370796474;794.343762484823;3259;0;542;-7839;-14586;110;15;-54;308152;500;10:43:29.882813
625.387949192015;103.984955900641;-926.412668082339;-918.964278098162;-337.730444472849;-611.789196475588;988.930561997996;904.038425841967;3259;0;542;-7839;-14586;110;15;-54;308153;500;10:43:29.882922
665.971131539641;147.090868972163;-729.68385788222;-814.849094718784;-425.783345102949;-879.722009924212;1087.5718737249;932.772740484299;3259;0;542;-7839;-14586;110;15;-54;308154;500;10:43:29.883269
542.622796755072;40.1613900260142;-875.826690222964;-1044.93846142027;-729.085783010478;-1247.59998593042;1077.77580378737;731.532879404128;3259;0;542;-7839;-14586;110;15;-54;308155;500;10:43:29.883386
336.749733621591;-188.514986222662;-1126.90834304202;-1232.07394683883;-740.494840274304;-804.399336214606;1066.10573575052;609.109194026656;3259;0;566;-7885;-14591;76;-26;30;308156;500;10:43:29.883495
442.110047124054;-127.206412855883;-1101.81941148947;-1115.3696150881;-568.064085859763;-662.813899341153;985.989481279288;799.676776826266;3259;0;566;-7885;-14591;76;-26;30;308157;500;10:43:29.883623
725.413849123589;108.098400706482;-832.569843610195;-834.475753086435;-276.330151911078;-488.921064948269;1136.51439754448;1113.9732041643;3259;0;566;-7885;-14591;76;-26;30;308158;500;10:43:29.883732
595.951052641607;7.23708676952001;-881.484118391575;-905.746518403507;-376.504785251268;-592.538678215325;1010.96597565154;950.492397628083;3259;0;566;-7885;-14591;76;-26;30;308159;500;10:43:29.883826
625.531852500328;131.297790379217;-729.050026891236;-714.140123374799;-283.392550000343;-496.127919838062;866.940370028278;841.143511785395;3259;0;566;-7885;-14591;76;-26;30;308160;500;10:43:29.883906
697.462018873582;234.416244786252;-455.312191035637;-483.347191383079;-73.6335391097531;-276.301008721012;809.451273841266;737.528618175183;3259;0;566;-7885;-14591;76;-26;30;308161;500;10:43:29.883991
523.411677419465;31.7222789669236;-741.353837502257;-816.106835597655;-286.813896232958;-501.07040703518;1004.90322931375;656.63482631795;3259;0;566;-7885;-14591;76;-26;30;308162;500;10:43:29.884075
524.260922351507;22.7778657165699;-784.248268201082;-793.499378002988;-230.398970477338;-520.325184624038;859.685026137249;679.585013528178;3259;0;566;-7885;-14591;76;-26;30;308163;500;10:43:29.885030
514.124686901602;16.848395637219;-808.895528727714;-848.716562170429;-423.12041081228;-844.305229301011;797.457091756344;680.948034906601;3259;0;566;-7885;-14591;76;-26;30;308164;500;10:43:29.885137
388.392231678088;-171.194619752734;-1063.29166968361;-1134.0359627879;-702.917141722718;-1076.2254568489;1056.79742192236;653.214606129654;3259;0;566;-7885;-14591;76;-26;30;308165;500;10:43:29.885240
255.586732187269;-323.770680858924;-1206.31097204151;-1269.68145465093;-800.755507250624;-1141.42451500356;1173.65914807608;509.670603647498;3259;0;527;-7954;-14689;273;175;-96;308166;500;10:43:29.885343
110.771005218956;-470.028753057163;-1371.10377600184;-1469.84531086313;-1042.1882987486;-1404.4953924256;1213.2242817571;414.402413325102;3259;0;527;-7954;-14689;273;175;-96;308167;500;10:43:29.885434
