CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
-45.10752219,-68.20736962,-29.15209068,39.29270712,-22.58072273,-112.2165028,-0.029307681,91.18657213,3239,0,-2105,-6830,-15006,-748,259,39,537610,500,51:08.6,51:08.568
14.24467183,29.24512439,21.97891269,95.06001948,129.5065422,-2.734122167,109.8115583,196.4550664,3239,0,-2105,-6830,-15006,-748,259,39,537611,500,51:08.6,51:08.568
-49.5316206,-21.10717338,19.14329042,125.0322914,145.6476003,68.78582747,255.8558077,225.104175,3239,0,-2105,-6830,-15006,-748,259,39,537612,500,51:08.6,51:08.568
-201.4993797,-204.777131,-145.8829376,-131.5745199,-192.2361189,-302.37323,93.6033519,32.66930523,3239,0,-2105,-6830,-15006,-748,259,39,537613,500,51:08.6,51:08.568
-48.06013295,-123.4583948,-148.4406235,-186.3894436,-278.6022463,-404.8046557,138.095531,102.8590631,3239,0,-2105,-6830,-15006,-748,259,39,537614,500,51:08.6,51:08.568
-45.49118909,-100.9753832,-78.29984603,31.57539663,8.481456716,-251.8070655,-52.00093442,43.43414882,3239,0,-2105,-6830,-15006,-748,259,39,537615,500,51:08.6,51:08.568
-199.55611,-336.5605231,-337.4743086,-185.8043538,-64.95330035,-218.846795,37.43187271,-34.17422145,3239,0,-2105,-6830,-15006,-748,259,39,537616,500,51:08.6,51:08.568
-101.3815177,-161.0881056,-157.2386955,-40.09681343,-5.958545874,-209.7670872,-39.05372425,-5.515812843,3239,0,-2105,-6830,-15006,-748,259,39,537617,500,51:08.6,51:08.568
13.59544041,-20.19169045,16.68922503,157.5054287,242.3154755,41.44823609,-3.54363841,89.04182956,3239,0,-2105,-6830,-15006,-748,259,39,537618,500,51:08.6,51:08.568
-114.9563259,-164.7884908,-144.7753982,23.38265897,138.6924281,-19.65470808,48.00470401,-33.30348216,3239,0,-2105,-6830,-15006,-748,259,39,537619,500,51:08.6,51:08.568
-115.5313047,-133.7068471,-86.01001855,32.82393252,5.561012155,-125.8355812,-37.66530851,-62.72123212,3239,0,-2138,-7027,-14996,-313,292,76,537620,500,51:08.6,51:08.568
