CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
-418.3288078,-255.9045294,23.66547489,-896.1670587,866.7347154,2030.581011,-576.3225636,-582.4481006,3366,0,15924,-3135,-2886,-200,-558,417,1247126,500,58:44.9,58:44.883
-521.9100651,-553.437664,-51.61009192,-793.4443494,1021.741255,2660.083758,-474.7879589,-555.7828573,3366,0,15924,-3135,-2886,-200,-558,417,1247127,500,58:44.9,58:44.883
-372.2752104,-435.2371002,258.8731227,-525.8143349,1036.274726,3015.363774,-336.8115766,-410.0694685,3366,0,15924,-3135,-2886,-200,-558,417,1247128,500,58:44.9,58:44.883
-667.3522883,-686.6060013,593.8092163,-315.7040856,1151.887659,3119.052461,-517.3301699,-668.4654549,3366,0,15924,-3135,-2886,-200,-558,417,1247129,500,58:44.9,58:44.883
-647.8864053,-602.33318,1095.284359,265.1749265,1491.747191,3309.092264,-444.2269523,-627.6834194,3366,0,15924,-3135,-2886,-200,-558,417,1247130,500,58:44.9,58:44.883
-458.0340507,-555.3053528,842.8666295,-633.5717481,1271.727337,3236.631894,-329.2049371,-430.3915652,3366,0,15924,-3135,-2886,-200,-558,417,1247131,500,58:44.9,58:44.883
-293.3093893,-443.3125491,709.4671382,-1269.151263,980.4619665,3145.142181,-193.6058579,-259.1335489,3366,0,15924,-3135,-2886,-200,-558,417,1247132,500,58:44.9,58:44.884
-236.9954013,-479.842843,549.4640033,-1437.154598,797.2936096,2925.848827,-166.5274106,-198.4004141,3366,0,15924,-3135,-2886,-200,-558,417,1247133,500,58:44.9,58:44.884
-567.3703861,-894.3371962,458.4507241,-1415.835672,1429.025497,3094.181647,-269.1928622,-474.1204551,3366,0,15924,-3135,-2886,-200,-558,417,1247134,500,58:44.9,58:44.884
-660.7433092,-858.8138036,542.1644485,-931.9013996,1890.711643,2853.725497,-355.2425616,-564.1438977,3366,0,15924,-3135,-2886,-200,-558,417,1247135,500,58:44.9,58:44.884
-753.1501986,-706.9220302,1292.74878,-184.2538527,1578.425718,2621.146834,-457.9227019,-739.2052291,3366,0,16004,-3085,-2934,-371,-358,376,1247136,500,58:44.9,58:44.884
-460.5773607,-485.7826887,1360.128987,-1063.162475,1183.828101,2992.918545,-326.2824155,-516.122901,3366,0,16004,-3085,-2934,-371,-358,376,1247137,500,58:44.9,58:44.884
28.18153918,-184.0230543,971.8276193,-1958.044934,1149.188088,3316.812144,-92.00435321,-105.9700035,3366,0,16004,-3085,-2934,-371,-358,376,1247138,500,58:44.9,58:44.884
-342.2088744,-681.1672111,858.6002625,-1838.930558,1628.197284,3537.291828,-165.2608781,-337.0495181,3366,0,16004,-3085,-2934,-371,-358,376,1247139,500,58:44.9,58:44.884
-345.6377563,-637.3061673,1101.561343,-1061.107058,2172.680694,3248.010589,-185.8007242,-346.6650024,3366,0,16004,-3085,-2934,-371,-358,376,1247140,500,58:44.9,58:44.884
-378.7974511,-441.9380291,1779.557704,-224.8646748,2595.154605,2773.17885,-431.7815163,-518.3526839,3366,0,16004,-3085,-2934,-371,-358,376,1247141,500,58:44.9,58:44.884
-413.3445787,-469.8612314,1805.531928,-519.554211,2701.763465,2756.901603,-458.9607641,-542.7964051,3366,0,16004,-3085,-2934,-371,-358,376,1247142,500,58:44.9,58:44.884
-232.4554787,-292.2488229,2029.299762,-515.3483894,2247.085172,2999.225117,-327.6845232,-384.8768942,3366,0,16004,-3085,-2934,-371,-358,376,1247143,500,58:44.9,58:44.884
-254.4131514,-318.5255308,2329.029222,-444.2185486,2478.144817,3178.32715,-415.3418807,-455.0191655,3366,0,16004,-3085,-2934,-371,-358,376,1247144,500,58:44.9,58:44.884
-245.9375608,-449.3475096,2106.181344,-845.9021815,2738.912668,3230.618623,-314.5569154,-354.1454293,3366,0,16004,-3085,-2934,-371,-358,376,1247145,500,58:44.9,58:44.886
-312.3913828,-633.7230703,1675.868593,-1049.001331,2169.067068,2924.545591,-255.619254,-372.0780251,3366,0,16055,-3133,-2936,-55,-340,384,1247146,500,58:44.9,58:44.886
-371.5971216,-519.7837202,2147.930941,-342.8658086,2123.401737,3071.756259,-410.9222966,-499.0117514,3366,0,16055,-3133,-2936,-55,-340,384,1247147,500,58:44.9,58:44.886
-210.5212181,-271.1006074,2351.676022,196.88333,2179.774984,3307.66585,-314.1113308,-348.3882837,3366,0,16055,-3133,-2936,-55,-340,384,1247148,500,58:44.9,58:44.886
-230.5078156,-369.5058071,2318.825879,-51.71374475,1948.855663,3317.979537,-332.8820254,-347.0275582,3366,0,16055,-3133,-2936,-55,-340,384,1247149,500,58:44.9,58:44.886
-164.6960351,-319.2072267,2467.386886,141.4836954,1772.874854,3479.28506,-160.5262491,-198.6702067,3366,0,16055,-3133,-2936,-55,-340,384,1247150,500,58:44.9,58:44.886
-105.3681183,-305.657557,2594.677822,158.5609492,1110.732898,3089.479021,-147.1183415,-157.3727479,3366,0,16055,-3133,-2936,-55,-340,384,1247151,500,58:44.9,58:44.886
-172.6776623,-331.5270338,2910.611824,-41.16531587,315.5847948,3005.866623,-210.6612213,-244.0981899,3366,0,16055,-3133,-2936,-55,-340,384,1247152,500,58:44.9,58:44.887
-273.8786918,-320.1150395,3522.894694,658.1329747,208.9129348,3254.131896,-276.3932037,-318.9135949,3366,0,16055,-3133,-2936,-55,-340,384,1247153,500,58:44.9,58:44.887
-564.8977686,-518.4209511,3875.582225,1495.734749,1026.828509,3454.971903,-486.3580832,-611.4212785,3366,0,16055,-3133,-2936,-55,-340,384,1247154,500,58:44.9,58:44.887
-536.5117953,-492.6595384,3753.143107,1880.34385,1622.277294,3402.979192,-454.2708164,-556.9579811,3366,0,16055,-3133,-2936,-55,-340,384,1247155,500,58:44.9,58:44.887
-496.761826,-441.6839862,3939.240909,1529.314979,2072.440937,3202.918268,-452.5074274,-500.0268125,3366,0,16017,-3196,-2910,279,-514,553,1247156,500,58:44.9,58:44.888
-392.6070907,-557.8406607,3557.659335,776.0730509,1416.83083,3247.374317,-313.9839084,-377.4064243,3366,0,16017,-3196,-2910,279,-514,553,1247157,500,58:44.9,58:44.888
